time,tweet,CleanTweets
2022-09-13 11:57:47+00:00,sbt! cek ongkos kirim lewat pos Indonesia ke luar negeri tuh dimana ya? ada yang bisa bantu?,cek ongkos kirim lewat pos indonesia negeri mana ya bisa bantu
2022-09-03 10:09:33+00:00,Cek Fakta: Hoaks Pesan Berantai PT Pos Indonesia Bagikan Subsidi Rp 4 Juta: Beredar informasi hoaks PT Pos Indonesia membagikan subsidi Rp 4 juta. https://t.co/s102xwTJ5t,cek pesan beranta pt pos indonesia subsidi rp juta edar informasi pt pos indonesia bagi subsidi rp juta
2022-08-19 04:21:02+00:00,@PosIndonesia Cek Dm min,cek pesan langsung administrator
2022-09-14 06:46:34+00:00,"@PosIndonesia check DM min...
Brng gw terlantar kgk ada update apapun....",cek pesan langsung administrator barang telantar tidak baru apa
2022-09-23 04:22:05+00:00,"@PosIndonesia cek DM min, kenapa VA pembayaran bea masuk sekarang selalu invalid semua? QRIS nya juga menghilang",cek pesan langsung administrator bayar bea masuk invalid nya hilang
2022-07-16 01:35:03+00:00,"@PosIndonesia Check DM min, saya kirim lewat DM",cek pesan langsung administrator kirim lewat pesan langsung
2022-08-13 11:34:47+00:00,"@PosIndonesia , cek DM min paket dari @SamsatDigital di tracking udah diterima pertanggal 12 kemarin. Saya blm terima itu paket dan saya ga kenal itu orang yg terima siapa",cek pesan langsung administrator paket lacak sudah terima kemarin belum terima paket tidak kenal orang terima
2022-07-26 11:11:13+00:00,@PosIndonesia Cek dm lg kak,cek pesan langsung kak
2022-09-13 10:17:50+00:00,@PosIndonesia Cek dm kak citraaaa,cek pesan langsung kak citra
2022-07-25 04:44:21+00:00,@PosIndonesia Cek DM ka mau tanya status paket,cek pesan langsung kakak mau tanya status paket
2022-07-25 01:07:50+00:00,@PosIndonesia Cek DM sudah 24jam ++ tidak ada update berhasil bayar,cek pesan langsung sudah jam tidak baru hasil bayar
2022-08-29 08:52:07+00:00,@PosIndonesia cek dm please,cek pesan langsung tolong
2022-09-17 09:48:21+00:00,@PosIndonesia cek DM ya min,cek pesan langsung ya administrator
2022-09-22 12:57:44+00:00,@PosIndonesia cek dm ya mimin intan 🥺,cek pesan langsung ya administrator intan
2022-09-10 00:01:04+00:00,@PosIndonesia cek dm ya min makasih 😉,cek pesan langsung ya administrator terima kasih
2022-08-24 04:55:12+00:00,@PosIndonesia cdm ya kak,cek pesan langsung ya kak
2022-07-09 23:27:29+00:00,"@PosIndonesia cek dm ya kak😭 panik nih, aku udah bayar tagihan kok malah dpt tagihan lagi....... mana tax nya pada ga kira².",cek pesan langsung ya kak panik sudah bayar tagih tagih lagi mana nya tidak kira
2022-09-11 14:10:33+00:00,@PosIndonesia cek dm ya kakk,cek pesan langsung ya kakak
2022-07-25 14:12:59+00:00,"@PosIndonesia cek DM ya untuk Resi nya,,",cek pesan langsung ya resi nya
2022-09-24 05:23:54+00:00,@PosIndonesia cek PM MIN.... tq,cek pesan pribadi administrator terima kasih
2022-09-07 07:31:11+00:00,Cek Fakta: Pos Indonesia Bagikan Hadiah Sebesar Rp4 Juta https://t.co/R0wHRXM3P3,cek pos indonesia hadiah rp juta
2022-08-17 12:43:27+00:00,"aku cek di webnya pos indonesia, tulisannya juga paketnya udah arrived dari 2020 lalu &amp; dia alesan kalo orangnya salah cetak? dari situ aku udah yakin banget kalo dia boong https://t.co/uZEjZ7j1Fw",cek pos indonesia tulis paket sudah alas orang salah cetak situ sudah yakin banget bohong
2022-07-26 06:35:44+00:00,"CARA Cek Resi Pos Indonesia yang Mudah dan Cepat
 
https://t.co/16xSCkIm0x via @tribunmedan",cek resi pos indonesia mudah cepat
2022-09-06 07:28:40+00:00,"CARA Cek Resi Pos Indonesia melalui Website, Kamu Bisa Mudah Lacak Keberadaan Paketmu
 
https://t.co/MYbydkY2tt via @tribunmedan",cek resi pos indonesia situs bisa mudah lacak ada paket
2022-08-08 05:04:07+00:00,"Cara Cek Resi Jdanamp;T Cargo, Wahana Express, Pos Indonesia dan Anteraja
 
https://t.co/G6gwUQEY3x via @tribunmedan",cek resi wahana express pos indonesia anteraja
2022-07-17 15:06:47+00:00,@sbtcon Cek aja ke web pos indonesia. Lengkap. Apalagi skg banyak border yang udah dibuka jadi makin enak kirim ww,cek saja situs pos indonesia lengkap banyak sudah buka enak kirim
2022-09-16 13:42:00+00:00,Cek Fakta: [SALAH] Tautan Pos Indonesia Memberikan Subsidi sebesar 4 Juta https://t.co/3YxhrPqTe3 via @kabar_tangsel,cek salah taut pos indonesia subsidi juta
2022-07-15 07:05:17+00:00,Cek tarif ems @PosIndonesia kok ndak muncul 😰 https://t.co/mDHmJ1h0qm,cek tarif express tidak muncul
2022-09-24 18:28:22+00:00,@sbtcon Cek tarifnya resi pos Indonesia aja nder. Kalo yg lain2 gatau deh wkwkwk di ina paket mah dilempar2 kalo di luar ya ditaruh,cek tarif resi pos indonesia saja kak lain tidak tahu deh tertawa paket mah lempar ya taruh
2022-07-17 15:03:07+00:00,"@sbtcon Kalo stamped cek di twt pos Indonesia ada or ask through dm/tweet
Kalo tracked bisa cek di web nya pos Indonesia",cek twitter pos indonesia orang pesan langsung twit bisa cek situs nya pos indonesia
2022-09-10 07:58:05+00:00,"Percepatan adopsi prinsip industri hijau dilakukan dengan pengoperasian kendaraan listrik, dan PLTS Atap. Saat ini, Pos Indonesia telah mengoperasikan 100 motor listrik dan 10 unit mobil listrik. https://t.co/jhyKmKDVGb",cepat adopsi prinsip industri hijau operasi kendara listrik atap pos indonesia operasi motor listrik unit mobil listrik
2022-09-05 02:15:23+00:00,"Mempercepat realisasi bantuan ke penerima, pos Indonesia menggunakan 3 metode salurkan Dana BLT BBM
#BLTBBMTepat
Ekonomi Tetap Terjaga https://t.co/8E5jpH7Y6K",cepat realisasi bantu terima pos indonesia metode dana bbm ekonomi jaga
2022-09-05 02:15:00+00:00,"Dalam mempercepat penyaluran BLT BBM, pos Indonesia menggunakan 3 metode sekaligus #BLTBBMTepat
Ekonomi Tetap Terjaga https://t.co/PowppTiNF7",cepat salur bbm pos indonesia metode ekonomi jaga
2022-08-06 04:32:33+00:00,@PosIndonesia Cepet yaaaaa udah nunggu lama banget nihh,cepat ya sudah tunggu lama banget
2022-09-24 02:57:52+00:00,@naonceunahsia @NavyNation94 @sourkenti @BeforenicoleNK @PosIndonesia Trs2 gmn ceritanya?,cerita
2022-08-24 09:06:31+00:00,@PosIndonesia Cetak Invoice / Arrival at Collection Point For Pick-up artinya apa ya ? saya sudah bayar bea cukai nya.,cetak tagih at ambil ya sudah bayar bea cukai nya
2022-07-17 13:50:07+00:00,"@skzsellstuff Aku kayaknya pernah ke ch, tapi ga sampe 10 pc deh dan pakenya pos Indonesia",ch tidak sampai deh pakai pos indonesia
2022-09-19 01:41:03+00:00,Pemdes Cisadap Ciamis Salurkan BLT Subsidi BBM Dan BPNT Melalui PT POS Indonesia https://t.co/b1MakO46jd,ciamis subsidi bbm pt pos indonesia
2022-07-09 22:24:04+00:00,cikal bakal @kemkominfo dan @PosIndonesia,cikal
2022-09-24 02:55:10+00:00,@Pembasmihaters9 @naonceunahsia @sourkenti @BeforenicoleNK @PosIndonesia Titisam dakjal.cin @CeciliaElba2  xixiix deseh agnacong sakit hetong 🤣🤣🤭 https://t.co/UzQ7ilL4CF,cinta sakit
2022-08-27 03:59:46+00:00,"I love @PosIndonesia udah murah cepet lgi

Makin cinta ❤️❤️❤️❤️❤️❤️",cinta sudah murah cepat cinta
2022-08-03 08:20:31+00:00,"@PosIndonesia Citra baik sekali, 😀
Sudah mengingatkan. 🙏",citra baik sekali sudah
2022-08-02 15:39:03+00:00,@PosIndonesia @PettaKumpe Vino citra jaya nanti siapa lagi nih yang mau minta maaf?,citra jaya lagi mau maaf
2022-09-08 04:15:12+00:00,"@convomf .cn artinya itu website domain Cina, mana mungkin pos Indonesia pake domain Cina 😩🙏",cn situs domain cina mana pos indonesia pakai domain cina
