time,tweet,CleanTweets
2021-08-05 17:02:45+00:00,"kak ini gitu aumu kaya di lukis boleh beli di indomaret — iya pake shopee express id biasanya, mksih ya https://t.co/c9TesLeJJI",kak begitu lukis boleh beli ya pakai shopee express id terima kasih ya
2020-12-24 04:10:34+00:00,"@ailuropile Kena potongan 20rb dari shopee nya beb. 
Kalo pake yg Express ID emg mahal, 30an https://t.co/IOJ7kQhAqD",kena potong ribu shopee nya sayang pakai express id memang mahal an
2022-06-05 02:02:26+00:00,"@convomfs Kalau ditoko ku hemat biasanya sicepat halu, regular j&amp;t anteraja shopee express id express, kalau kargo tuh sicepat gokil atau jtr (jne trucking) ini buat paket yang biasanya beratnya lebih dari 10kg",ku hemat sicepat halu regular juta anteraja shopee express id express kargo sicepat gila jne trucking buat paket berat lebih kg
2021-10-14 14:08:11+00:00,Kurir Shopee express ID minta di viralin sepertinya.. Wtf @ShopeeCare @ShopeeID bad attitude.,kurir shopee express id buruk
2021-03-01 06:31:25+00:00,"@discountfess Lama shopee express, id express cepat, klo g ada, + ongkir pake jnt",lama shopee express id express cepat tidak ongkos kirim pakai jnt
2022-05-12 13:06:20+00:00,@twinkledobbyu @jntexpressid Sekarang enakan pake shopee express id dahh,lebih enak pakai shopee express id sudah
2021-10-19 17:21:14+00:00,SEMUA PELUNASAN BISA BY SHOPEE dan MANUAL (J&amp;T Express/ID Express) YAAA 💛,lunas bisa shopee manual juta express id express ya
2021-12-28 17:44:30+00:00,"mau jd admin packing donk, klo ada yang btuh dm aj ya rumah w dket sama ekspedisi apa aja (jnt,jne,shopee express,id express dll) fee murah tergantung per minggu brp kali packing. btw dom tangerang !",mau administrator emas butuh pesan langsung saja ya rumah dekat ekspedisi saja jnt jne shopee express id express lain lain biaya murah gantung minggu berapa kali emas omong omong domisili tangerang
2020-01-29 10:31:38+00:00,"@ohmybeautybank Sini sini yang mau coba dulu~
Aku ada sleeping masknya juga🥰

• Free ongkir via Shopee
• COD, bisa gosend/grab express
• ID Shopee: SUNSHXNE 🍓",mau coba dulu bebas ongkos kirim shopee bayar tempat bisa gosend grab express id shopee
2022-06-03 08:32:52+00:00,@tanyarlfes Mesti gitu klo pake shopee express/id express. Notif di pelacakannya lama banget berubahnya. Ntar tau tau paketnya sampe depan rumah tapi notifnya ttp ga ganti,mesti begitu pakai shopee express id express notifikasi lama banget sebentar tahu tahu paket sampai depan rumah notifikasi tidak ganti
2021-04-05 02:08:31+00:00,"@anderlyons @PamerSale_ jadi ada counter yang isinya ninja, lelexpress, shopee express, id express dalam satu tempat, nah yang gt juga nerima kok buat ngirim shopee",ninja shopee express id express tempat begitu terima buat kirim shopee
2021-10-27 06:59:57+00:00,"kek nya itu paket yg bermasalah daerah² tertentu doang dehh... gue hidup di cilacap jawa tengah sering jajan di sopi aman² aja dari dulu.. dari ekspedisi sicepat, anteraja, j&amp;t, shopee express, id express apa lagi yaa.... AMAN DEHH ALHAMDULILLAH",nya paket masalah daerah doang deh hidup cilacap jawa sering jajan shopee aman saja dulu ekspedisi sicepat anteraja juta shopee express id express lagi ya aman deh alhamdulillah
2020-12-11 23:54:35+00:00,"@jajanbhlabels Kamu pke ekspedisinya jne ya? Kalo jne emng min belanja 300k huhu, ga ngaruh meski di tgl kembar :(
Selain jne kyk jnt, sicepat, shopee express, id express, dll bisa",pakai jne ya jne memang administrator belanja tidak pengaruh tanggal kembar jne jnt sicepat shopee express id express lain lain bisa
2021-02-20 01:43:21+00:00,@kembaransilent Pakai Shopee Express &amp; ID Express Gratis,pakai shopee express id express gratis
2021-03-20 03:57:17+00:00,"@undipmenfess Reguler aku dptnya: SiCepat Halu, JNT, Shopee Express, ID Express.

Pokoke yg paling murah",reguler dapat sicepat halu jnt shopee express id express murah
2021-08-13 07:54:48+00:00,"-rek ada yang beli barang di shopee pake ekspedisi id express? id express kan lagi ada problem berhenti beroprasi dan call centernya juga mati, aku udh bingung bgt gimana nasib paketku😭😭😭",rekening beli barang shopee pakai ekspedisi id express id express lagi masalah henti operasi panggil mati sudah bingung sekali nasib paket
2022-08-02 05:44:59+00:00,"@kpopstorebase rumahku kebetulan deket beberapa ekspedisi, jnt, sicepat, shopee express, id express",rumah betul dekat ekspedisi jnt sicepat shopee express id express
2020-10-28 03:05:34+00:00,Salah pilih ekspedisi kmrn tu. pke shopee express id mmg murah tapi lamaaaaaa,salah pilih ekspedisi kemarin pakai shopee express id memang murah lama
2021-03-19 00:29:51+00:00,@kimjiwoniec @discountfess Sedih bgt kebagian shopee express / id express😭,sedih sekali bagi shopee express id express
2021-06-12 03:09:42+00:00,"nissa bgt ini mah 3 kurir dateng bareng tapi beda ekspedisi. shopee express, id express, j&amp;t express😭😭👍🏻",sekali mah kurir datang bareng beda ekspedisi shopee express id express juta express
2020-09-26 04:31:08+00:00,"@newsplatter Aku sengaja nyebar antara j&amp;t, sicepat, ninja, shopee express, id express (selama masi free ongkir). Biar teamnya ga cape bolbal ke rumah terus. 🙈",sengaja juta sicepat ninja shopee express id express bebas ongkos kirim biar tidak lelah rumah
2022-05-26 06:19:24+00:00,"w nyesel bgt pasang ekspedisi shopee express ID, susah banget request pick up trs kirain counter buka hariini ternyata tutup sial:( udh effort gerak naik motor jauh jauh",sesal sekali pasang ekspedisi shopee express id susah banget ambil buka tutup sial sudah gerak naik motor jauh jauh
2021-12-29 11:10:40+00:00,@enhypenmart shopee express id 👍👍👍👍👍👍,shopee express id
2022-09-03 08:08:17+00:00,Shopee express id beneran express bgt wkwkwkkw skr plg cepet keknya dia 👍🏼👍🏼👍🏼👍🏼 jd semangat nyopiii,shopee express id benar express sekali cepat semangat
2021-09-08 05:52:23+00:00,shopee express id bisa cepet lebih cepet gak yaa..👩‍🦯 atau oljack hue suruh jalan sendiri aja ke depok tapi gapapa bismillah potter,shopee express id bisa cepat lebih cepat tidak ya suruh jalan sendiri saja depok tidak bismillah
2022-05-28 00:01:48+00:00,Shopee express ID luar biasa cepet banget pengirimannya d antara ekspedisi yg lain 🫶🏻🫶🏻,shopee express id cepat banget kirim ekspedisi lain
2021-03-13 01:04:11+00:00,"@discountfess Shopee express, id express",shopee express id express
2021-04-16 03:52:02+00:00,"@d_derraa @txtdrikurir Shopee express, id express, anteraja. Kalo yang lain gatau belum pernah pake.",shopee express id express anteraja lain tidak tahu belum pakai
2021-03-30 16:23:14+00:00,@tanyainrl shopee express id express dulu difoto-_-,shopee express id express dulu foto
2021-07-16 01:23:30+00:00,"@csyxweishin @JPLACE093 @ohmybeautybank shopee express, id express, jne, jnt, anteraja, itu langganan ke rumah karena ibu sering belanja onlen juga. KALO MAU BELI DALEMAN GITU JDI HARUS PAKE NAMA IBU BIAR GAK MALU😣😣👍",shopee express id express jne jnt anteraja langgan rumah ibu sering belanja daring mau beli begitu pakai nama ibu biar tidak malu
2021-03-09 07:00:35+00:00,"@ssefnum Shopee express, id express lama banget",shopee express id express lama banget
2021-03-15 06:29:10+00:00,@erinajajan shopee express/id express murah nder,shopee express id express murah kak
2021-02-04 06:55:37+00:00,"shopee express, id express, antaraja sudah pasti foto dan ga ijin dulu. please lah ga usah ada aturan buat kurir foto paket dengan penerimanya segala. beneran ga nyaman dan gatau apakah foto kita akan disalahgunakan atau tidak",shopee express id express sudah pasti tidak izin dulu tolong tidak atur buat kurir paket terima benar tidak nyaman tidak tahu tidak
2021-03-25 11:18:52+00:00,shopee express/id express ga beres dah. kaga bisa tracking barang kaga jelas dimane.,shopee express id express tidak beres sudah tidak bisa lacak barang tidak jelas
2021-05-27 08:36:13+00:00,ini shopee express id itu klo mau komplain tuh kemana ya🤔🤔udah mau seminggu dah,shopee express id mau komplain mana ya sudah mau minggu sudah
2020-10-16 02:39:49+00:00,Shopee express id guys,shopee express id teman teman
2021-07-20 14:17:18+00:00,@08oct02 shopee express id yo cepet,shopee express id ya cepat
2021-03-05 07:47:19+00:00,"@seoxmin_ kynya shopee smua lg stuck deh... aku mau pake jnt, shopee express, id express, stuck smuaa",shopee macet deh mau pakai jnt shopee express id express macet
2021-05-11 10:30:21+00:00,"@labitchesse Kalo di shopee ga bisa milih tsaay, bingung juga waak, kalo ga shopee express, Id express ya dapetnya sicepat. Apakah kalian putus mitra sama shopee?",shopee tidak bisa pilih bingung tidak shopee express id express ya dapat sicepat putus mitra shopee
2021-03-21 01:21:01+00:00,"@ShopeeID shopee gak mau ubah sistem pilihan pengiriman seperti dulu lagi ?
jujur sekarang gak enak banget buat pembeli !
yang ada shopee lama2 ditinggalin kalo begini pilihan pengiriman.
gue dapat kurir yang lama mulu ke alamat gue !
gue biasa pakai J&amp;T EXPRESS / ID EXPRESS 😠",shopee tidak mau ubah sistem pilih kirim dulu lagi jujur tidak enak banget buat beli shopee lama pilih kirim kurir lama melulu alamat pakai juta express id express
2021-03-14 01:25:30+00:00,"Kalau di Shopee/Tokopedia bisa pilih delivery dengan biaya kirim murah:
Sicepat Halu
Ninja Express
ID Express
Sicepat Reguler
Anteraja

Kargo: (kalau beli banyak)
JNE JTR
Sicepat Gokil

Same Day delivery:
Grab
Gojek
Anteraja Same-day
Yuk bantu order, Insyaallah nggak bakal kecewa https://t.co/vo5WZwfv6y",shopee tokopedia bisa pilih kirim biaya kirim murah sicepat halu ninja express id express sicepat reguler anteraja kargo beli banyak jne sicepat gila kirim grab gojek anteraja ayo bantu pesan insyaallah tidak kecewa
2021-08-12 07:04:37+00:00,"@heetyuni si cepat, shopee express, id express kalau gasalah",si cepat shopee express id express tidak salah
2021-02-15 04:00:46+00:00,"@ShopeeCare siang, mau tanya dengan no resi di IDS004767404576 , dikirim dengan Shopee Express / ID Express bukan ya?",siang mau tanya nomor resi kirim shopee express id express ya
2021-03-19 08:48:54+00:00,"@rismawirawan Sicepat, anteraja, shopee express, id express mbak. Awalnya cuma sicepat aja sih lalu semingguan kemarin coba aktifin lain2nya yang lebih murah (karena pada request).

Aku lebih bingung sbg pembeli sih haha pengennya pake sicepat aja gt tp kok ribet bgt skrg caranya",sicepat anteraja shopee express id express kakak sicepat saja sih kemarin coba aktif lain lebih murah lebih bingung beli sih tertawa pakai sicepat saja begitu ribet sekali
2021-03-10 05:48:56+00:00,"@mamalembot 1. Sicepat ✨
2. J&amp;T
3. Shopee express, ID express
.
.
.
.
10007. JNE 🥵",sicepat juta shopee express id express jne
2021-10-14 12:04:34+00:00,Udah gak ngerti lagi sama Shopee Express / ID Express. Paket di tahan 2 hari di tiap daerah. Udah sampai tujuan pun di tahan 2 hari gak di kirim ke tujuan langsung. #kecewaberat #idexpress https://t.co/5hpUQQqfmS,sudah tidak erti lagi shopee express id express paket tahan hari daerah sudah sampai tuju tahan hari tidak kirim tuju langsung
2020-11-15 14:03:08+00:00,"@herrysw Klo di tempat saya juaranya Anteraja, siCepat, J&amp;T selanjutnya ini, Shopee Express, ID Express, JNE, kadang sih cepet, tapi lebih  banyak lemot nya. Paling favorit Anteraja &amp; siCepat Halu, udah cepet, tarifnya paling murah dari semuanya 🤭",tempat juara anteraja sicepat juta shopee express id express jne kadang sih cepat lebih banyak lambat nya favorit anteraja sicepat halu sudah cepat tarif murah
2022-09-24 04:25:40+00:00,"@ShopeeID , kenapa g bisa jemput paket gw sendiri.
Gw beneran mw pergi 2 minggu.
Susah bgt mw tau dimana kantor kalian dibanjarmasin utk Shopee express id.
Itu mw gw pake rencana.
Kek mana nunggu 3 hari, g ada org d rumah!!!!!!
Kapok pake shopee express id. https://t.co/algdueaC5L",tidak bisa paket sendiri benar mau pergi minggu susah sekali mau tahu mana kantor shopee express id mau pakai rencana mana tunggu hari tidak orang rumah kapok pakai shopee express id
2021-05-23 03:05:50+00:00,"Tolong @ShopeeID shopee express id dibenahi lagi. Ini 3 hari muter2 di jakarta loh. Pake jnt biasanya 3 hari sampai. Kalau emang ga sanggup bikin ekspedisi, mending dibalikin kaya dulu lagi aja sistemnya. CO udah jauh2 hari karena senin barang dipakai, tapi percuma banget, https://t.co/kjqVxbsSB5",tolong shopee express id lagi hari putar jakarta loh pakai jnt hari sampai memang tidak sanggup buat ekspedisi lebih baik dulu lagi saja sistem co sudah jauh hari senin barang pakai banget
2022-04-23 13:52:59+00:00,"@noodelzip iyaa emang aku selalu dpt kurir yang sama kalo dari shopee express, id express sm anteraja. kayaknya mereka emg wilayah kerjanya ditugasin buat kirim di komplekku gitu deh (?)",ya memang kurir shopee express id express anteraja memang wilayah kerja buat kirim begitu deh
2021-02-02 05:42:20+00:00,"@piockyjr iyaa emang, shopee express/id express gitu tuh belum mencakup luas. kayak nya baru id express jabodetabek(?) tapi gatau juga di daerah lain",ya memang shopee express id express begitu belum cakup luas nya baru id express jabodetabek tidak tahu daerah lain
2021-02-17 01:30:40+00:00,"@yhaankyu_ Iya, dm ajasih kalo gue biasanya di jnt/shopee express/id express",ya pesan langsung jnt shopee express id express
2021-06-30 07:57:18+00:00,"@yoonca3993 Iya sihh... Aku soalnya masuk perkotaan bngt. Jnt, jne, shopee express, id express, kayak deketan gt... Pasti adaa di tiap nama desa",ya sih masuk kota sekali jnt jne shopee express id express begitu pasti nama desa
